industry_code_x,industry_code_y,dem_corr,edge_tuple,edge_tuple_rev
Exports of '10 - Cereals',Exports of '17 - Sugars and sugar confectionery',0.419308236159,"(""Exports of '10 - Cereals'"", ""Exports of '17 - Sugars and sugar confectionery'"")","(""Exports of '17 - Sugars and sugar confectionery'"", ""Exports of '10 - Cereals'"")"
Exports of '10 - Cereals',"Exports of '89 - Ships, boats and floating structures'",0.414298375558,"(""Exports of '10 - Cereals'"", ""Exports of '89 - Ships, boats and floating structures'"")","(""Exports of '89 - Ships, boats and floating structures'"", ""Exports of '10 - Cereals'"")"
Exports of '10 - Cereals',"Exports of '16 - Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof'",0.392157044842,"(""Exports of '10 - Cereals'"", ""Exports of '16 - Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof'"")","(""Exports of '16 - Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof'"", ""Exports of '10 - Cereals'"")"
Exports of '10 - Cereals',Exports of '24 - Tobacco and manufactured tobacco substitutes',0.392157044842,"(""Exports of '10 - Cereals'"", ""Exports of '24 - Tobacco and manufactured tobacco substitutes'"")","(""Exports of '24 - Tobacco and manufactured tobacco substitutes'"", ""Exports of '10 - Cereals'"")"
Exports of '10 - Cereals',"Exports of '26 - Ores, slag and ash'",0.392157044842,"(""Exports of '10 - Cereals'"", ""Exports of '26 - Ores, slag and ash'"")","(""Exports of '26 - Ores, slag and ash'"", ""Exports of '10 - Cereals'"")"
Exports of '10 - Cereals',Exports of '47 - Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard',0.392157044842,"(""Exports of '10 - Cereals'"", ""Exports of '47 - Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard'"")","(""Exports of '47 - Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard'"", ""Exports of '10 - Cereals'"")"
Exports of '10 - Cereals',"Imports of '03 - Fish and crustaceans, molluscs and other aquatic invertebrates'",0.392157044842,"(""Exports of '10 - Cereals'"", ""Imports of '03 - Fish and crustaceans, molluscs and other aquatic invertebrates'"")","(""Imports of '03 - Fish and crustaceans, molluscs and other aquatic invertebrates'"", ""Exports of '10 - Cereals'"")"
Exports of '10 - Cereals',Exports of '41 - Raw hides and skins (other than furskins) and leather',0.390875493737,"(""Exports of '10 - Cereals'"", ""Exports of '41 - Raw hides and skins (other than furskins) and leather'"")","(""Exports of '41 - Raw hides and skins (other than furskins) and leather'"", ""Exports of '10 - Cereals'"")"
Exports of '10 - Cereals',"Exports of '09 - Coffee, tea, mate and spices'",0.390291854351,"(""Exports of '10 - Cereals'"", ""Exports of '09 - Coffee, tea, mate and spices'"")","(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '10 - Cereals'"")"
Exports of '10 - Cereals',Imports of '10 - Cereals',0.384200008997,"(""Exports of '10 - Cereals'"", ""Imports of '10 - Cereals'"")","(""Imports of '10 - Cereals'"", ""Exports of '10 - Cereals'"")"
