CIIU ID S,CIIU ID D,CIIU ID CL,CIIU label CL
10,59,5913,"Actividades de distribución de películas cinematográficas, videos, programas, anuncios y comerciales de televisión"
10,59,5914,Actividades de exhibición de películas cinematográficas y videos
10,59,5920,Actividades de grabación de sonido y edición de musica
10,60,6010,Actividades de programación y transmisión en el servicio de radiodifusión sonora
10,60,6020,Actividades de programación y transmisión de televisión
10,61,6110,Actividades de telecomunicaciones alámbricas
10,61,6120,Actividades de telecomunicaciones inalámbricas
10,61,6130,Actividades de telecomunicación satelital
10,61,6190,Otras actividades de telecomunicaciones
10,62,6201,"Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)"
10,62,6202,Actividades de consultoría informática y actividades de administración de instalaciones informáticas
10,62,6209,Otras actividades de tecnologías de información y actividades de servicios informáticos
10,63,6311,"Procesamiento de datos, alojamiento (hosting) y actividades relacionadas"
10,63,6312,Portales web
10,63,6391,Actividades de agencias de noticias
10,63,6399,Otras actividades de servicio de información n.c.p.
11,64,6411,Banco Central
11,64,6412,Bancos comerciales
11,64,6421,Actividades de las corporaciones financieras
11,64,6422,Actividades de las compañías de financiamiento
11,64,6423,Banca de segundo piso
11,64,6424,Actividades de las cooperativas financieras
11,64,6431,"Fideicomisos, fondos y entidades financieras similares"
11,64,6432,Fondos de cesantías
11,64,6491,Leasing financiero (arrendamiento financiero)
11,64,6492,Actividades financieras de fondos de empleados y otras formas asociativas del sector solidario
11,64,6493,Actividades de compra de cartera o factoring
11,64,6494,Otras actividades de distribución de fondos
11,64,6495,Instituciones especiales oficiales
11,64,6499,"Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p."
11,65,6511,Seguros generales 
11,65,6512,Seguros de vida
11,65,6513,Reaseguros
11,65,6514,Capitalización
11,65,6521,Servicios de seguros sociales de salud
11,65,6522,Servicios de seguros sociales de riesgos profesionales
11,65,6531,Régimen de prima media con prestación definida (RPM)
11,65,6532,Régimen de ahorro individual (RAI)
11,66,6611,Administración de mercados financieros
11,66,6612,Corretaje de valores y de contratos de productos básicos
11,66,6613,Otras actividades relacionadas con el mercado de valores
11,66,6614,Actividades de las casas de cambio
11,66,6615,Actividades de los profesionales de compra y venta de divisas
11,66,6619,Otras actividades auxiliares de las actividades de servicios financieros n.c.p.
11,66,6621,Actividades de agentes y corredores de seguros
11,66,6629,"Evaluación de riesgos y daños, y otras actividades de servicios auxiliares"
11,66,6630,Actividades de administración de fondos
12,68,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados
12,68,6820,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata 
13,69,6910,Actividades jurídicas
13,69,6920,"Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria"
13,70,7010,Actividades de administración empresarial
13,70,7020,Actividades de consultaría de gestión
13,71,7110,Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica
13,71,7120,Ensayos y análisis técnicos
13,72,7210,Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería 
13,72,7220,Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades
13,73,7310,Publicidad
13,73,7320,Estudios de mercado y realización de encuestas de opinión pública
13,74,7410,Actividades especializadas de diseño 
13,74,7420,Actividades de fotografía
13,74,7490,"Otras actividades profesionales, científicas y técnicas n.c.p."
13,75,7500,Actividades veterinarias
14,77,7710,Alquiler y arrendamiento de vehículos automotores
14,77,7721,Alquiler y arrendamiento de equipo recreativo y deportivo
14,77,7722,Alquiler de videos y discos 
14,77,7729,Alquiler y arrendamiento de otros efectos personales y enseres domésticos n.c.p.
14,77,7730,"Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p."
14,77,7740,"Arrendamiento de propiedad intelectual y productos similares, excepto obras protegidas por derechos de autor"
14,78,7810,Actividades de agencias de empleo
14,78,7820,Actividades de agencias de empleo temporal
14,78,7830,Otras actividades de suministro de recurso humano
14,79,7911,Actividades de las agencias de viaje
14,79,7912,Actividades de operadores turísticos
14,79,7990,Otros servicios de reserva y actividades relacionadas
14,80,8010,Actividades de seguridad privada
14,80,8020,Actividades de servicios de sistemas de seguridad
14,80,8030,Actividades de detectives e investigadores privados
14,81,8110,Actividades combinadas de apoyo a instalaciones
14,81,8121,Limpieza general interior de edificios
14,81,8129,Otras actividades de limpieza de edificios e instalaciones industriales
14,81,8130,Actividades de paisajismo y servicios de mantenimiento conexos
14,82,8211,Actividades combinadas de servicios administrativos de oficina
14,82,8219,"Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo a oficina"
14,82,8220,Actividades de centros de llamadas (Call center)
14,82,8230,Organización de convenciones y eventos comerciales
14,82,8291,Actividades de agencias de cobranza y oficinas de calificación crediticia
14,82,8292,Actividades de envase y empaque
14,82,8299,Otras actividades de servicio de apoyo a las empresas n.c.p.
