CLAE 3,Descripción CLAE 3,Ramas,Descripción,CNAE ID CNG,CNAE label CNG
329.0,Industrias Manufactureras Ncp,3699.0,Industrias manufactureras n.c.p.,325,Fabricacao de instrumentos e materiais para uso medico e odontologico e de artigos opticos
329.0,Industrias Manufactureras Ncp,3699.0,Industrias manufactureras n.c.p.,329,Fabricacao de produtos diversos
,,3700.0,Reciclamiento,,
,,3710.0,Reciclamiento de desperdicios y desechos metálicos,,
,,3720.0,Reciclamiento de desperdicios y desechos no metálicos,,
331.0,Reparación Y Mantenimiento De Máquinas Y Equipo,,,331,Manutencao e reparacao de maquinas e equipamentos
332.0,Instalación De Maquinaria Y Equipos Industriales,,,332,Instalacao de maquinas e equipamentos
352.0,Fabricación Y Distribución De Gas  Y De Combustibles Gaseosos Por Tuberías,4011.0,Generación de energía eléctrica,351,"Geracao, transmissao e distribuicao de energia eletrica"
352.0,Fabricación Y Distribución De Gas  Y De Combustibles Gaseosos Por Tuberías,4012.0,Transporte de energía eléctrica,351,"Geracao, transmissao e distribuicao de energia eletrica"
352.0,Fabricación Y Distribución De Gas  Y De Combustibles Gaseosos Por Tuberías,4013.0,Distribución de energía eléctrica,351,"Geracao, transmissao e distribuicao de energia eletrica"
352.0,Fabricación Y Distribución De Gas  Y De Combustibles Gaseosos Por Tuberías,4020.0,Fabricación de gas y distribución de combustibles gaseosos por tuberías,352,Producao e distribuicao de combustiveis gasosos por redes urbanas
353.0,Suministro De Vapor Y Aire Acondicionado,4020.0,Fabricación de gas y distribución de combustibles gaseosos por tuberías,353,"Producao e distribuicao de vapor, agua quente e ar condicionado"
431.0,"Demolición, Movimiento Y Preparación De Terrenos Para Obras",4511.0,Demolición y voladura de edificios y de sus partes ,,
431.0,"Demolición, Movimiento Y Preparación De Terrenos Para Obras",4512.0,"Perforación y sondeo, excepto: perforación de pozos de petróleo, de gas, de minas e hidráulicos  y prospección de yacimientos de petróleo",,
431.0,"Demolición, Movimiento Y Preparación De Terrenos Para Obras",4519.0,Movimiento de suelos y preparación de terrenos para obras n.c.p.,,
410.0,Construcción De Edificios Y Sus Partes,4520.0,Construcción de edificios y sus partes y obras de ingeniería civil,,
410.0,Construcción De Edificios Y Sus Partes,4531.0,"Ejecución y mantenimiento de instalaciones eléctricas, electromecánicas y electrónicas",,
432.0,Instalaciones Para Edificios Y Obras De Ingeniería Civil,4532.0,"Aislamiento térmico, acústico, hídrico y antivibratorio",,
432.0,Instalaciones Para Edificios Y Obras De Ingeniería Civil,4533.0,"Instalaciones de gas, agua, sanitarios y de climatización, con sus artefactos conexos",,
432.0,Instalaciones Para Edificios Y Obras De Ingeniería Civil,4539.0,Instalaciones para edificios y obras de ingeniería civil n.c.p.,,
432.0,Instalaciones Para Edificios Y Obras De Ingeniería Civil,4541.0,"Instalaciones de carpintería, herrería de obra y artística",,
433.0,Terminación De Edificios,4542.0,Terminación y revestimiento de paredes y pisos,,
433.0,Terminación De Edificios,4543.0,Colocación de cristales en obra,,
433.0,Terminación De Edificios,4544.0,Pintura y trabajos de decoración,,
433.0,Terminación De Edificios,4549.0,Terminación de edificios y obras de ingeniería civil n.c.p.,,
439.0,Alquiler De Equipo De Construcción O Demolición Dotado De Operarios Y Actividades Especializadas De Construcción Ncp,4550.0,Alquiler de equipo de construcción o demolición dotado de operarios,,
429.0,Obras De Ingeniería Civil Ncp,4550.0,Alquiler de equipo de construcción o demolición dotado de operarios,,
421.0,"Construcción, Reforma Y Reparación De Obras De Infraestructura Para El Transporte",4550.0,Alquiler de equipo de construcción o demolición dotado de operarios,,
422.0,Construcción De Proyectos De Servicios Públicos,4550.0,Alquiler de equipo de construcción o demolición dotado de operarios,,
422.0,Construcción De Proyectos De Servicios Públicos,5011.0,"Venta de vehículos automotores nuevos, excepto motocicletas",,
451.0,"Venta De Vehículos Automotores, Excepto Motocicletas",5012.0,"Venta de vehículos automotores usados, excepto motocicletas",,
