,CIIU ID CI4,CLAE 3,Descripción CLAE 3,Ramas,Descripción,CNAE ID CNG,CNAE label CNG,CIIU label CI4,labour
389,,139.0,Fabricación De Productos Textiles Ncp,1721.0,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir",,,,
66,1393.0,139.0,Fabricación De Productos Textiles Ncp,1722.0,Fabricación de tapices y alfombras,,,Fabricacion de tapetes y alfombras para pisos,0.01
67,1394.0,139.0,Fabricación De Productos Textiles Ncp,1723.0,"Fabricación de cuerdas, cordeles, bramantes y redes",,,"Fabricacion de cuerdas, cordeles, cables, bramantes y redes",0.01
68,1399.0,139.0,Fabricación De Productos Textiles Ncp,1729.0,Fabricación de productos textiles n.c.p.,,,Fabricacion de otros articulos textiles n.c.p.,0.07
390,,139.0,Fabricación De Productos Textiles Ncp,1729.0,Fabricación de productos textiles n.c.p.,,,,
391,,141.0,"Confección De Prendas De Vestir, Excepto Prendas De Piel",1810.0,"Fabricación de prendas de vestir, inclusive de cuero",141.0,Confeccao de artigos do vestuario e acessorios,,
69,1410.0,141.0,"Confección De Prendas De Vestir, Excepto Prendas De Piel",,,,,"Confeccion de prendas de vestir, excepto prendas de piel",0.39
70,1420.0,142.0,Terminación Y Teñido De Pieles; Fabricación De Artículos De Piel,1820.0,Terminación y teñido de pieles; fabricación de artículos de piel,,,Fabricacion de articulos de piel,0.0
392,,143.0,Fabricación De Prendas De Vestir De Punto,1820.0,Terminación y teñido de pieles; fabricación de artículos de piel,,,,
629,1430.0,143.0,Fabricación De Prendas De Vestir De Punto,,,,,Fabricacion de articulos de punto y ganchillo,
393,,149.0,Servicios Industriales Para La Industria Confeccionista,1820.0,Terminación y teñido de pieles; fabricación de artículos de piel,,,,
71,1511.0,151.0,Curtido Y Terminación De Cueros; Fabricación De Artículos De Marroquinería Y Talabartería,1911.0,Curtido y terminación de cueros,151.0,Curtimento e outras preparacoes de couro,Curtido y recurtido de cueros; recurtido y tenido de pieles,0.01
394,,151.0,Curtido Y Terminación De Cueros; Fabricación De Artículos De Marroquinería Y Talabartería,1911.0,Curtido y terminación de cueros,151.0,Curtimento e outras preparacoes de couro,,
72,1512.0,151.0,Curtido Y Terminación De Cueros; Fabricación De Artículos De Marroquinería Y Talabartería,1912.0,"Fabricación de maletas, bolsos de mano y similares, artículos de talabartería y  artículos de cuero n.c.p.",152.0,Fabricacao de artigos para viagem e de artefatos diversos de couro,"Fabricacion de articulos de viaje, bolsos de mano y articulos similares elaborados en cuero, y fabricacion de articulos de talabarteria y guarnicioneria",0.07
630,1513.0,151.0,Curtido Y Terminación De Cueros; Fabricación De Artículos De Marroquinería Y Talabartería,1912.0,"Fabricación de maletas, bolsos de mano y similares, artículos de talabartería y  artículos de cuero n.c.p.",152.0,Fabricacao de artigos para viagem e de artefatos diversos de couro,"Fabricacion de articulos de viaje, bolsos de mano y articulos similares; articulos de talabarteria y guarnicioneria elaborados en otros materiales",
632,1522.0,152.0,Fabricación De Calzado Y De Sus Partes,1920.0,Fabricación de calzado y de sus partes,153.0,Fabricacao de calcados,"Fabricacion de otros tipos de calzado, excepto calzado de cuero y piel",
634,1523.0,152.0,Fabricación De Calzado Y De Sus Partes,1920.0,Fabricación de calzado y de sus partes,153.0,Fabricacao de calcados,Fabricacion de partes del calzado,
395,,152.0,Fabricación De Calzado Y De Sus Partes,1920.0,Fabricación de calzado y de sus partes,153.0,Fabricacao de calcados,,
633,1522.0,152.0,Fabricación De Calzado Y De Sus Partes,1920.0,Fabricación de calzado y de sus partes,154.0,"Fabricacao de partes para calcados, de qualquer material","Fabricacion de otros tipos de calzado, excepto calzado de cuero y piel",
635,1523.0,152.0,Fabricación De Calzado Y De Sus Partes,1920.0,Fabricación de calzado y de sus partes,154.0,"Fabricacao de partes para calcados, de qualquer material",Fabricacion de partes del calzado,
396,,152.0,Fabricación De Calzado Y De Sus Partes,1920.0,Fabricación de calzado y de sus partes,154.0,"Fabricacao de partes para calcados, de qualquer material",,
