area_fips,industry_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages
02000,8113,72.8,361.8,13944006.4
02000,8114,59.2,86.8,2253922.8
02000,8121,173.2,1116.6,18826965.0
02000,8122,14.0,45.2,1248784.2
02000,8123,47.8,456.0,9075724.0
02000,8129,55.0,168.6,3553137.4
02000,8131,70.2,677.4,14314446.4
02000,8132,47.4,320.8,11620583.6
02000,8133,123.8,877.6,29493096.8
02000,8134,188.4,2320.4,59955645.0
02000,8139,205.4,948.2,39454419.4
02000,8141,176.0,242.2,4504564.8
02000,9211,471.8,16694.4,602821827.2
02000,9221,191.2,3597.0,174242548.4
02000,9231,74.6,4660.2,196406864.4
02000,9241,189.2,5623.8,298331779.2
02000,9251,1.6,42.0,3392207.6
02000,9261,175.4,5028.4,279142801.4
02000,9281,29.6,3894.6,230180447.4
02000,9999,191.6,335.0,14766991.4
04000,1111,21.0,546.6,8662293.2
04000,1112,74.8,3809.6,76982415.8
04000,1113,47.6,1016.8,21252299.8
04000,1114,53.8,2186.6,56936306.8
04000,1119,317.2,3111.4,67353847.2
04000,1121,193.4,3183.4,79446482.2
04000,1122,1.8,0.0,0.0
04000,1123,2.6,0.0,0.0
04000,1124,2.2,7.6,127674.6
04000,1125,4.4,23.6,410705.2
04000,1129,25.6,214.0,6100877.0
04000,1131,0.6,0.0,0.0
04000,1132,2.4,2.8,81007.4
04000,1133,19.8,143.4,3003132.4
04000,1141,1.0,0.0,0.0
04000,1142,1.0,0.0,0.0
04000,1151,283.4,14039.2,221849300.8
04000,1152,65.8,223.8,5400884.2
04000,1153,15.2,59.2,1903242.0
04000,2111,3.0,1.8,102019.4
04000,2121,3.6,0.0,0.0
04000,2122,23.8,6084.6,342342756.4
04000,2123,60.0,197.0,9476232.4
04000,2131,41.0,128.8,7381151.0
04000,2211,60.6,13638.6,1006151887.6
04000,2212,23.0,264.4,14721391.0
04000,2213,228.2,429.6,21060805.4
04000,2361,3363.8,23865.6,1096466504.2
04000,2362,985.2,13672.4,673828597.0
04000,2371,368.2,9092.8,348017013.0
04000,2372,351.2,5787.0,384836246.0
04000,2373,276.8,12156.4,518413924.6
04000,2379,159.2,3548.6,144619242.6
04000,2381,2066.8,42287.0,1297804697.8
04000,2382,3240.4,39957.4,1479368367.8
04000,2383,2630.4,35576.0,1004746353.4
04000,2389,1357.4,17479.2,632000045.0
04000,3111,9.8,355.0,17073088.8
04000,3112,3.2,81.2,3929349.6
04000,3113,16.8,218.6,7966790.2
04000,3114,12.6,300.4,5888397.6
04000,3115,7.0,952.8,52009502.8
04000,3116,22.0,1540.0,39496081.4
04000,3118,129.4,3784.6,95585188.8
04000,3119,30.6,1531.6,47377811.6
04000,3121,22.2,0.0,0.0
04000,3122,1.0,0.0,0.0
04000,3131,4.4,607.8,19445375.0
04000,3132,6.8,31.0,1192880.2
04000,3133,11.6,109.8,7502592.0
04000,3141,28.4,364.8,10586917.6
04000,3149,69.6,940.6,26796631.6
04000,3151,0.6,0.0,0.0
04000,3152,36.4,475.6,11453980.0
04000,3159,4.4,0.0,0.0
04000,3161,0.25,0.0,0.0
04000,3162,4.6,23.0,1251389.6
04000,3169,16.2,238.2,6371650.4
04000,3211,10.0,181.8,4777281.8
04000,3212,32.0,2257.4,61116678.4
04000,3219,151.0,6087.8,190493357.4
04000,3221,3.2,0.0,0.0
04000,3222,23.6,0.0,0.0
04000,3231,606.2,6917.6,243021954.2
04000,3241,16.8,204.8,9923397.0
04000,3251,20.4,370.6,19710105.4
04000,3252,13.0,201.4,7330276.4
04000,3253,15.6,476.6,17345567.8
04000,3254,29.2,1005.6,54633124.0
04000,3255,17.4,429.6,20104689.0
04000,3256,32.8,642.0,26292968.0
04000,3259,42.0,689.6,21204533.6
04000,3261,141.2,5132.2,178356999.4
