1,custom_id3,CLAE 3,Descripción CLAE 3,CLAE ID 2,Ramas,Descripción,letra,clanae,sector,dpe,dígitos,sector.1,CIIU ID CI4,CIIU label CI4,CIIU ID CI2,CIIU ID CI1,CIIU ID CI0
85.0,14.0,14.0,Cría De Animales,1.0,121.0,"Cría de ganado y producción de leche , lana y pelos",A,1411,1411,012.16,5,Cría de ganado en cabañas y haras.,,,,,
86.0,14.0,14.0,Cría De Animales,1.0,121.0,"Cría de ganado y producción de leche , lana y pelos",A,1412,1412,012.17,5,Producción de leche.,,,,,
87.0,14.0,14.0,Cría De Animales,1.0,121.0,"Cría de ganado y producción de leche , lana y pelos",A,1413,1413,012.18,5,Producción de lana y pelos de ganado.,,,,,
88.0,14.0,14.0,Cría De Animales,1.0,121.0,"Cría de ganado y producción de leche , lana y pelos",A,1419,1419,012.19,5,Cría de ganado n.c.p.,,,,,
89.0,14.0,14.0,Cría De Animales,1.0,122.0,"Producción de granja y cría de animales, excepto ganado",A,142,142,012.2,4,"Producción de granja y cría de animales, excepto ganado.",,,,,
90.0,14.0,14.0,Cría De Animales,1.0,122.0,"Producción de granja y cría de animales, excepto ganado",A,1421,1421,012.21,5,Cría de aves  de corral.,145.0,Cria de aves de corral,1.0,1.0,0.0
91.0,14.0,14.0,Cría De Animales,1.0,122.0,"Producción de granja y cría de animales, excepto ganado",A,1422,1422,012.22,5,Producción de huevos.,149.0,Cria de otros animales n.c.p.,1.0,1.0,0.0
92.0,14.0,14.0,Cría De Animales,1.0,122.0,"Producción de granja y cría de animales, excepto ganado",A,1423,1423,012.23,5,Apicultura.,,,,,
93.0,14.0,14.0,Cría De Animales,1.0,122.0,"Producción de granja y cría de animales, excepto ganado",A,15,15,012.24,5,"Cría de animales pelíferos, pilíferos y plumíferos.",,,,,
94.0,14.0,14.0,Cría De Animales,1.0,122.0,"Producción de granja y cría de animales, excepto ganado",A,2,2,012.25,5,Cunicultura.,,,,,
95.0,14.0,14.0,Cría De Animales,1.0,122.0,"Producción de granja y cría de animales, excepto ganado",A,20,20,012.29,5,"Cría de animales y obtención de productos de origen animal, n.c.p.",162.0,Actividades de apoyo a la ganaderia,1.0,1.0,0.0
96.0,14.0,14.0,Cría De Animales,1.0,,,A,201,201,13,3,Actividades agropecuarias mixtas.,150.0,Explotacion mixta (agricola y pecuaria) ,1.0,1.0,0.0
97.0,14.0,14.0,Cría De Animales,1.0,122.0,"Producción de granja y cría de animales, excepto ganado",A,202,202,130,4,Actividades agropecuarias mixtas.,,,,,
98.0,14.0,14.0,Cría De Animales,1.0,122.0,"Producción de granja y cría de animales, excepto ganado",A,2021,2021,0130.0,5,Actividades agropecuarias mixtas.,,,,,
99.0,14.0,16.0,Servicios De Apoyo Agrícolas Y Pecuarios,1.0,,,A,2022,2022,14,3,"Servicios agrícolas y pecuarios, excepto los veterinarios.",,,,,
100.0,14.0,16.0,Servicios De Apoyo Agrícolas Y Pecuarios,1.0,141.0,Servicios agrícolas,A,,,014.1,4,Servicios agrícolas.,161.0,Actividades de apoyo a la agricultura ,1.0,1.0,0.0
101.0,14.0,16.0,Servicios De Apoyo Agrícolas Y Pecuarios,1.0,141.0,Servicios agrícolas,A,,,014.11,5,"Servicios de maquinaria agrícola, excepto los de cosecha mecánica.",,,,,
102.0,14.0,16.0,Servicios De Apoyo Agrícolas Y Pecuarios,1.0,141.0,Servicios agrícolas,A,,,014.12,5,Servicios de cosecha mecánica.,,,,,
103.0,14.0,16.0,Servicios De Apoyo Agrícolas Y Pecuarios,1.0,141.0,Servicios agrícolas,A,,,014.13,5,Servicios de contratistas de mano de obra agrícola.,,,,,
104.0,14.0,16.0,Servicios De Apoyo Agrícolas Y Pecuarios,1.0,141.0,Servicios agrícolas,A,,,014.16,5,Servicio de post cosecha.,163.0,Actividades posteriores a la cosecha ,1.0,1.0,0.0
105.0,14.0,16.0,Servicios De Apoyo Agrícolas Y Pecuarios,1.0,141.0,Servicios agrícolas,A,,,014.19,5,Servicios agrícolas n.c.p.,,,,,
106.0,14.0,16.0,Servicios De Apoyo Agrícolas Y Pecuarios,1.0,142.0,"Servicios pecuarios, excepto los veterinarios",A,,,014.2,4,"Servicios pecuarios, excepto los veterinarios.",,,,,
107.0,14.0,16.0,Servicios De Apoyo Agrícolas Y Pecuarios,1.0,142.0,"Servicios pecuarios, excepto los veterinarios",A,,,014.21,5,Inseminación artificial y servicios n.c.p. para mejorar la reproducción de los animales y el rendimiento de sus productos.,,,,,
108.0,14.0,16.0,Servicios De Apoyo Agrícolas Y Pecuarios,1.0,142.0,"Servicios pecuarios, excepto los veterinarios",A,,,014.22,5,Servicios de contratistas de mano de obra pecuaria.,,,,,
109.0,14.0,16.0,Servicios De Apoyo Agrícolas Y Pecuarios,1.0,142.0,"Servicios pecuarios, excepto los veterinarios",A,,,014.29,5,Servicios pecuarios n.c.p.,,,,,
110.0,17.0,17.0,"Caza, Repoblación  De Animales De Caza Y Servicios De Apoyo",1.0,,,A,,,15,3,"Caza y captura de animales vivos, repoblación de animales de caza y servicios conexos.",,,,,
111.0,17.0,17.0,"Caza, Repoblación  De Animales De Caza Y Servicios De Apoyo",1.0,150.0,"Caza  y captura de animales vivos, repoblación  de animales de caza y servicios conexos",A,,,150,4,"Caza y captura de animales vivos, repoblación de animales de caza y servicios conexos.",170.0,Caza ordinaria y mediante trampas y actividades de servicios conexas ,1.0,1.0,0.0
112.0,17.0,17.0,"Caza, Repoblación  De Animales De Caza Y Servicios De Apoyo",1.0,150.0,"Caza  y captura de animales vivos, repoblación  de animales de caza y servicios conexos",A,,,0150.1,5,Caza y captura de animales vivos y repoblación de animales de caza.,,,,,
113.0,17.0,17.0,"Caza, Repoblación  De Animales De Caza Y Servicios De Apoyo",,150.0,"Caza  y captura de animales vivos, repoblación  de animales de caza y servicios conexos",A,,,0150.2,5,Servicios para la caza.,,,,,
114.0,17.0,,,2.0,,,A,,,2,2,"Silvicultura, Extracción de Madera y Servicios Conexos",,,,,
115.0,21.0,21.0,Silvicultura,2.0,,,A,,,20,3,"Silvicultura, extracción de madera y servicios conexos.",,,,,
