Year,Month,BRA ID,Exports,Imports,Export Weight,Import Weight,Product Diversity,Effective Product Diversity,Export Destination Diversity,Effective Export Destination Diversity,Nominal Export Growth (1 year),Nominal Import Growth (1 year),Nominal Export Growth (5 year),Nominal Import Growth (5 year),Economic Complexity,Year,Month,BRA ID,Exports,Imports,Export Weight,Import Weight,Product Diversity,Effective Product Diversity,Export Destination Diversity,Effective Export Destination Diversity,Nominal Export Growth (1 year),Nominal Import Growth (1 year),Nominal Export Growth (5 year),Nominal Import Growth (5 year),Economic Complexity
2016,0,2ce0602,554012.000,2891426.000,84145.000,1042831.000,5,3.399,11,6.735,,,,,,2016,0,2ce0602,554012.000,2891426.000,84145.000,1042831.000,5,3.399,11,6.735,,,,,
2016,0,2ma0000,678816.000,32400.000,74400.000,0.000,1,1.000,2,2.000,,,,,,2016,0,2ma0000,678816.000,32400.000,74400.000,0.000,1,1.000,2,2.000,,,,,
2016,0,2ma0001,96891.000,2247337.000,28800.000,178501.000,1,1.000,1,1.000,,,,,,2016,0,2ma0001,96891.000,2247337.000,28800.000,178501.000,1,1.000,1,1.000,,,,,
2016,0,2ma0101,,595685.000,,1247534.000,0,,0,,,,,,,2016,0,2ma0101,,595685.000,,1247534.000,0,,0,,,,,,
2016,0,2ma0104,,184729.000,,637145.000,0,,0,,,,,,,2016,0,2ma0104,,184729.000,,637145.000,0,,0,,,,,,
2016,0,2ma0200,207965475.000,603822740.000,970929360.000,2031732471.000,4,1.134,27,7.839,,,,,,2016,0,2ma0200,207965475.000,603822740.000,970929360.000,2031732471.000,4,1.134,27,7.839,,,,,
2016,0,2ma0201,67500.000,,0.000,,1,1.000,1,1.000,,,,,,2016,0,2ma0201,67500.000,,0.000,,1,1.000,1,1.000,,,,,
2016,0,2ma0202,,2222884.000,,2896846.000,0,,0,,,,,,,2016,0,2ma0202,,2222884.000,,2896846.000,0,,0,,,,,,
2016,0,2ma0203,10.000,,25.000,,1,1.000,1,1.000,,,,,,2016,0,2ma0203,10.000,,25.000,,1,1.000,1,1.000,,,,,
2016,0,2ma0205,2199591.000,,6868140.000,,1,1.000,1,1.000,,,,,,2016,0,2ma0205,2199591.000,,6868140.000,,1,1.000,1,1.000,,,,,
2016,0,2ma0301,219890735.000,4132306.000,542978140.000,62841480.000,7,1.587,14,5.708,,,,,,2016,0,2ma0301,219890735.000,4132306.000,542978140.000,62841480.000,7,1.587,14,5.708,,,,,
